group_id,speed,log_speed,bin_dens_200m,trap_rate_fox,hab_type
3,0.519853208,-0.6542088,0.050985371,6.167838823,Hedgerows
4,0.289465278,-1.239719929,0.053064693,2.66723116,Human Structure
5,0.898996546,-0.106476087,0.036421781,1.372299873,Hedgerows
6,0.546513448,-0.604196364,0.108437608,1.453849833,Amenity Grassland
7,0.123683743,-2.09002743,0.099724082,6.272509959,Broadleaved Woodland
8,0.332356238,-1.10154788,0.019629669,0.652802176,Human Structure
11,0.589010652,-0.529311011,0.033858416,0.689068482,Amenity Grassland
12,0.341967552,-1.073039425,0.025370661,1.446930033,Dense Scrub
16,0.308407959,-1.176331831,0.030056447,0.453020134,Amenity Grassland
18,0.20645211,-1.577686807,0.025230652,0.303157895,Broadleaved Woodland
19,0.229434211,-1.472138953,0.023320085,2.112543225,Dense Scrub
20,0.166406415,-1.793322201,0.039287952,1.14008234,Hedgerows
21,0.511035441,-0.671316335,0.033834894,0.607242633,Amenity Grassland
23,0.190802464,-1.656516606,0.247114125,1.641025641,Human Structure
24,0.311669967,-1.165810448,0.129966372,1.479029957,Amenity Grassland
28,0.682098747,-0.382580842,0.005211995,1.001283697,Broadleaved Woodland
29,0.424377362,-0.857132215,0.010927041,0.57029703,Hedgerows
30,0.53163904,-0.631790517,0.029039474,3.514119229,Dense Scrub
33,0.161885193,-1.820867879,0.006467257,0.756421705,Broadleaved Woodland
37,0.461293326,-0.773721157,0.076400271,1.56102014,Human Structure
39,0.573156946,-0.556595698,0.052623691,0.428507663,Dense Scrub
40,0.146089865,-1.923533334,0.148266222,1.009514271,Dense Scrub
41,0.772968924,-0.257516434,0.059636753,0.846877673,Broadleaved Woodland
42,1.028765081,0.028359133,0.025327923,0.231201499,Broadleaved Woodland
43,0.474092011,-0.746353861,0.014421179,1.619797526,Broadleaved Woodland
44,0.169251837,-1.776367516,0.013090142,0.286168521,Dense Scrub
49,0.380524063,-0.966205862,0.022146844,3.785791851,Human Structure
51,0.301037088,-1.200521806,0.117260415,0.071449836,Broadleaved Woodland
56,0.674395283,-0.393938866,0.037884414,0.358476475,Broadleaved Woodland
57,0.482619824,-0.728526049,0.019438559,0.930325017,Broadleaved Woodland
59,1.028511361,0.028112477,0.033181501,1.26468328,Dense Scrub
60,0.749950268,-0.287748384,0.034084694,0.38824481,Tall Herbs
65,0.610807581,-0.492973294,0.10957585,2.817610063,Broadleaved Woodland
69,0.266239127,-1.323360399,0.005135449,0.312144367,Dense Scrub
70,0.236332997,-1.442513463,0.007522567,0.703583062,Broadleaved Woodland
71,0.271103069,-1.305256202,0.021552089,0.034351964,Broadleaved Woodland
72,0.580267236,-0.544266529,0.017120524,0.285955419,Broadleaved Woodland
73,0.388504681,-0.945450061,0.020287966,0.786728917,Broadleaved Woodland
78,0.282256301,-1.264939754,0.030455577,0.54610467,Hedgerows
79,0.552050271,-0.594116166,0.057394088,0.64347271,Tall Herbs
80,0.480162974,-0.733629703,0.082729045,0.50102205,Tall Herbs
82,0.521360365,-0.651313797,0.139905639,0.100369415,Human Structure
84,0.468391247,-0.758451335,0.062685907,3.356154406,Tall Herbs
85,0.727827541,-0.317691153,0.005287459,0.467052273,Dense Scrub
87,0.392113565,-0.936203775,0.005287459,3.127192542,Broadleaved Woodland
89,0.332908456,-1.099887734,0.0056209,0.42865648,Human Structure
111,0.45812486,-0.780613513,0,0.53192963,Broadleaved Woodland
115,0.397103387,-0.923558611,0,1.91904048,Human Structure
129,0.437871806,-0.825829092,0.010749673,0.462088567,Broadleaved Woodland
135,0.289068473,-1.241091688,0.028795823,0.285310944,Amenity Grassland
136,0.244715635,-1.407658418,0.030218104,0.643271951,Dense Scrub
137,0.271558256,-1.30357859,0.025372075,3.442283823,Hedgerows
140,0.618036095,-0.481208418,0.018070534,4.653937946,Human Structure
142,0.197647558,-1.621269843,0.050165986,0.501672241,Dense Scrub
143,0.364468099,-1.009316251,0.016848916,0.560553633,Hedgerows
145,0.503020708,-0.687123941,0.00872161,0.214030916,Dense Scrub
150,0.133896624,-2.010687243,0.010215646,0.277863538,Tall Herbs
